schema_type,name,description,format,created,last_modified,size,url,url_type,dkan_parent_dataset_node_id,dkan_parent_dataset_title,dkan_resource_node_id,dkan_uri
data,"Housing Tenure, Condition, Period of Construction and Structural Type (National Household Survey 2011)",,CSV,2018-09-19 09:36:01,2021-04-01 00:42:03,9791,https://open.yukon.ca/sites/default/files/NHS_2011_HOUSING_TENURE_0.CSV,upload,61172,National Household Survey 2011 (Semi-custom Profile of Yukon Territory and Selected Regions),22279,https://open.yukon.ca/data/datasets/housing-tenure-condition-period-construction-and-structural-type-national-household-0
data,Post-secondary Qualifications by Major Field of Study (Census 2001),,CSV,2018-09-19 09:36:01,2021-04-01 00:42:03,6033,https://open.yukon.ca/sites/default/files/CENSUS_2001_EDU_FIELD_0.CSV,upload,61168,Census 2001 (Semi-Custom Profile of Selected CSD Aggregates in Yukon),22281,https://open.yukon.ca/data/datasets/post-secondary-qualifications-major-field-study-census-2001/resource/0b39ca54-8de3
data,"Non-census Family Income (in 2000, Census 2001)",,CSV,2018-09-19 09:36:01,2021-04-01 00:42:03,20333,https://open.yukon.ca/sites/default/files/CENSUS_2001_NON_FAM_INC_0.CSV,upload,61168,Census 2001 (Semi-Custom Profile of Selected CSD Aggregates in Yukon),22283,https://open.yukon.ca/data/datasets/non-census-family-income-2000-census-2001/resource/be440d06-4e0b-45b6-bf91
data,Post-secondary Qualifications by Major Field of Study (National Household Survey 2011),,CSV,2018-09-19 09:36:01,2021-04-01 00:42:03,8215,https://open.yukon.ca/sites/default/files/NHS_2011_POSTSECONDARY_FOS_0.CSV,upload,61172,National Household Survey 2011 (Semi-custom Profile of Yukon Territory and Selected Regions),22285,https://open.yukon.ca/data/datasets/post-secondary-qualifications-major-field-study-national-household-survey-2011-0
data,Housing and Shelter Costs (Census 2006),,CSV,2018-09-19 09:36:01,2021-04-01 00:42:03,5178,https://open.yukon.ca/sites/default/files/CENSUS_2006_DWL_HHD_COSTS_0.CSV,upload,61170,Census 2006 (Semi-custom Profile of Yukon CSD Aggregations),22287,https://open.yukon.ca/data/datasets/housing-and-shelter-costs-census-2006/resource/75dcbc65-e07c-49d3-9ff8-0e836a0ff340
data,Employment Income (Census 2006),,CSV,2018-09-19 09:40:54,2021-04-01 00:42:06,17534,https://open.yukon.ca/sites/default/files/CENSUS_2006_EMPLOY_INCOME_0.CSV,upload,61170,Census 2006 (Semi-custom Profile of Yukon CSD Aggregations),22289,https://open.yukon.ca/data/datasets/employment-income-census-2006/resource/d5912c77-9cfd-42f6-89cd-66614a2f9271
data,"Non-economic Family Income (in 2005, Census 2006)",,CSV,2018-09-19 09:40:54,2021-04-01 00:42:06,23373,https://open.yukon.ca/sites/default/files/CENSUS_2006_NON_FAM_INC_0.CSV,upload,61170,Census 2006 (Semi-custom Profile of Yukon CSD Aggregations),22291,https://open.yukon.ca/data/datasets/non-economic-family-income-2005-census-2006/resource/d19c88d6-a143-43af-9466
data,"Household Income (in 2000, Census 2001)",,CSV,2018-09-19 09:40:54,2021-04-01 00:42:03,9455,https://open.yukon.ca/sites/default/files/CENSUS_2001_HHD_INC_0.CSV,upload,61168,Census 2001 (Semi-Custom Profile of Selected CSD Aggregates in Yukon),22293,https://open.yukon.ca/data/datasets/household-income-2000-census-2001/resource/f9095af5-e869-4c6b-ae44-4752a493c85e
data,Highest Level of Schooling (Census 2001),,CSV,2018-09-19 09:40:54,2021-04-01 00:51:20,4000,https://open.yukon.ca/sites/default/files/CENSUS_2001_HIGHEST_EDU_0.CSV,upload,61168,Census 2001 (Semi-Custom Profile of Selected CSD Aggregates in Yukon),22295,https://open.yukon.ca/data/datasets/highest-level-schooling-census-2001/resource/bd24080f-623a-4293-9fd6-7bb32c81afe8
data,Aboriginal Population (Census 2001),,CSV,2018-09-19 09:41:31,2021-04-01 00:42:06,4578,https://open.yukon.ca/sites/default/files/CENSUS_2001_ABOR_POP_0.CSV,upload,61168,Census 2001 (Semi-Custom Profile of Selected CSD Aggregates in Yukon),22297,https://open.yukon.ca/data/datasets/aboriginal-population-census-2001/resource/87bd309d-9146-4851-99d0-f6f2da8e9768
